team,enemy,win,home,diff
HOU,DEN,1,1,12.0
MIL,PHX,1,1,11.0
MIA,WAS,1,0,5.0
ATL,MIL,1,1,1.0
LAL,BOS,1,0,1.0
MIL,ATL,0,0,-5.0
ATL,CHI,0,1,-7.0
OKC,LAL,0,1,-10.0
DAL,MIL,0,1,-15.0
NYK,HOU,0,0,-28.0
DAL,GSW,1,1,48.0
ATL,BKN,1,1,32.0
IND,ORL,1,1,32.0
TOR,WAS,1,1,29.0
GSW,SAC,1,1,25.0
HOU,ORL,1,0,23.0
DET,CLE,1,0,23.0
LAC,NOP,1,1,20.0
HOU,CHA,1,1,19.0
HOU,MIA,1,0,17.0
TOR,SAC,1,1,17.0
DEN,MIL,1,0,12.0
CLE,DET,1,1,12.0
HOU,TOR,1,0,10.0
GSW,SAS,1,1,11.0
LAC,SAC,1,0,11.0
DAL,POR,1,0,8.0
DAL,NOP,1,1,4.0
HOU,LAC,1,1,5.0
MIA,ORL,1,1,3.0
POR,OKC,1,0,4.0
CHI,CHA,1,0,1.0
UTA,DEN,0,0,-2.0
SAS,MEM,0,1,-1.0
PHX,MIA,0,1,-6.0
POR,SAS,1,1,40.0
CLE,DAL,1,1,38.0
BOS,CHA,1,1,35.0
DEN,CHI,1,0,33.0
ORL,DET,1,1,30.0
HOU,NOP,1,0,30.0
POR,NYK,1,1,24.0
GSW,WAS,1,0,20.0
POR,DEN,1,1,20.0
DAL,NYK,1,0,21.0
MIN,SAS,1,0,20.0
HOU,ATL,1,1,19.0
HOU,LAC,1,0,19.0
ORL,TOR,1,0,16.0
ORL,PHI,1,1,16.0
OKC,MEM,1,1,14.0
HOU,BKN,1,1,14.0
NJN,TOR,1,0,12.0
HOU,OKC,1,1,12.0
NJN,NYK,1,0,8.0
CLE,ATL,1,1,9.0
HOU,CHI,1,0,9.0
ORL,WAS,1,0,7.0
NJN,PHX,1,0,7.0
MIA,DEN,1,1,8.0
GSW,ATL,1,0,8.0
ORL,MIL,1,0,5.0
GSW,HOU,1,0,7.0
HOU,ORL,1,0,7.0
ATL,NYK,0,1,-1.0
MIA,OKC,1,0,2.0
