season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2018,21801227,1554854400,1,1610612759,1610612742,SAS,DAL,41,37,88,91,8,11,24,37,15,9,18,12,8,7,45,35,22,27,11.0,7.0,6,5,2,4,4,2,105,94,11.0,-11.0
2018,21801222,1554854400,0,1610612766,1610612753,CHA,ORL,41,48,78,88,8,11,29,30,24,15,27,20,4,9,28,30,21,24,8.0,6.0,3,5,4,2,2,4,114,122,-8.0,8.0
2018,21801226,1554854400,0,1610612749,1610612760,MIL,OKC,43,48,100,99,15,23,46,54,15,8,21,13,11,9,42,44,27,40,15.0,13.0,7,7,1,3,3,1,116,127,-11.0,11.0
2018,21801220,1554854400,0,1610612737,1610612754,ATL,IND,43,45,103,98,17,12,41,30,31,33,38,39,22,13,39,30,29,22,17.0,8.0,5,12,7,7,7,7,134,135,-1.0,1.0
2018,21801229,1554854400,1,1610612746,1610612762,LAC,UTA,54,47,106,106,12,14,28,35,23,29,30,33,12,17,40,40,34,31,12.0,17.0,7,8,5,11,11,5,143,137,6.0,-6.0
2018,21801230,1554854400,1,1610612757,1610612758,POR,SAC,53,50,91,96,14,18,24,43,16,13,22,16,14,12,30,23,19,25,13.0,10.0,5,5,2,1,1,2,136,131,5.0,-5.0
2018,21801228,1554854400,1,1610612743,1610612750,DEN,MIN,39,39,87,91,10,13,33,32,11,4,17,6,12,7,41,34,23,24,13.0,10.0,6,6,4,0,0,4,99,95,4.0,-4.0
2018,21801223,1554854400,0,1610612752,1610612765,NYK,DET,31,41,77,85,9,14,30,33,18,19,25,20,4,11,29,45,23,25,11.0,14.0,7,5,5,2,2,5,89,115,-26.0,26.0
2018,21801221,1554854400,1,1610612751,1610612748,BKN,MIA,43,38,114,98,21,8,58,41,6,10,7,15,20,8,48,46,29,22,12.0,15.0,7,9,3,4,4,3,113,94,19.0,-19.0
2018,21801225,1554854400,1,1610612763,1610612744,MEM,GSW,48,46,98,92,21,13,46,30,15,12,18,14,15,9,34,30,25,32,11.0,14.0,9,3,0,5,5,0,132,117,15.0,-15.0
2018,21801224,1554854400,1,1610612755,1610612741,PHI,CHI,52,45,93,95,12,9,26,24,9,10,15,15,9,9,38,30,30,21,7.0,8.0,4,4,10,3,3,10,125,109,16.0,-16.0
2018,21801209,1554768000,0,1610612739,1610612766,CLE,CHA,40,45,89,78,11,22,30,44,6,12,8,17,14,5,27,32,24,35,14.0,10.0,3,8,2,7,7,2,97,124,-27.0,27.0
