season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2020,22001076,1621123200,1,1610612757,1610612743,POR,DEN,46,44,87,98,18,14,43,37,22,14,26,15,11,10,40,26,24,20,14.0,6.0,3,8,6,2,2,6,132,116,16.0,-16.0
2020,22001075,1621123200,1,1610612755,1610612753,PHI,ORL,46,36,94,76,19,10,40,28,17,35,23,41,9,9,32,38,35,23,12.0,17.0,8,4,5,3,3,5,128,117,11.0,-11.0
2020,22001079,1621123200,0,1610612761,1610612754,TOR,IND,39,48,97,95,12,15,38,37,23,14,29,18,16,10,32,37,21,34,12.0,13.0,8,8,3,3,3,3,113,125,-12.0,12.0
2020,22001066,1621123200,1,1610612737,1610612745,ATL,HOU,49,31,90,92,7,18,21,63,19,15,26,20,11,11,45,32,32,25,13.0,16.0,10,8,8,5,5,8,124,95,29.0,-29.0
2020,22001068,1621123200,1,1610612741,1610612749,CHI,MIL,45,38,87,90,14,12,32,37,14,24,19,32,8,10,37,31,23,14,16.0,12.0,8,13,8,5,5,8,118,112,6.0,-6.0
2020,22001074,1621123200,1,1610612760,1610612746,OKC,LAC,50,45,94,106,8,10,26,43,9,12,16,15,14,16,40,28,20,17,15.0,3.0,1,8,12,3,3,12,117,112,5.0,-5.0
2020,22001070,1621123200,1,1610612744,1610612763,GSW,MEM,41,40,83,92,15,6,39,25,16,15,18,19,12,12,34,27,26,25,20.0,13.0,9,12,4,5,5,4,113,101,12.0,-12.0
2020,22001069,1621123200,0,1610612765,1610612748,DET,MIA,40,47,86,84,11,13,35,34,16,13,22,20,7,6,26,33,26,32,16.0,12.0,4,11,4,5,5,4,107,120,-13.0,13.0
2020,22001078,1621123200,0,1610612759,1610612756,SAS,PHX,50,53,98,104,7,13,24,35,14,4,19,4,11,10,35,38,30,36,10.0,8.0,5,7,5,5,5,5,121,123,-2.0,2.0
2020,22001073,1621123200,1,1610612752,1610612738,NYK,BOS,34,35,79,86,13,11,27,41,15,11,19,15,4,9,37,37,16,19,11.0,12.0,7,4,6,6,6,6,96,92,4.0,-4.0
2020,22001080,1621123200,1,1610612764,1610612766,WAS,CHA,44,37,91,94,10,14,31,45,17,22,21,24,10,10,43,32,22,25,14.0,13.0,4,8,3,5,5,3,115,110,5.0,-5.0
2020,22001072,1621123200,0,1610612740,1610612747,NOP,LAL,37,45,78,96,9,11,25,35,15,9,21,15,8,8,39,34,26,30,21.0,10.0,4,14,5,5,5,5,98,110,-12.0,12.0
2020,22001077,1621123200,0,1610612758,1610612762,SAC,UTA,42,41,90,86,9,18,30,39,6,21,10,25,5,9,34,41,24,28,13.0,16.0,10,9,5,3,3,5,99,121,-22.0,22.0
2020,22001067,1621123200,1,1610612751,1610612739,BKN,CLE,47,38,83,85,16,12,30,39,13,21,17,31,4,11,33,34,35,16,12.0,16.0,9,8,9,5,5,9,123,109,14.0,-14.0
