season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2019,21901315,1597363200,0,1610612745,1610612755,HOU,PHI,35,49,80,87,12,18,48,38,14,18,16,22,1,8,26,43,25,31,17.0,16.0,10,8,9,4,4,9,96,134,-38.0,38.0
2019,21901317,1597363200,1,1610612746,1610612760,LAC,OKC,34,38,85,106,12,14,37,44,27,13,39,22,12,11,49,37,23,18,23.0,16.0,10,5,2,6,6,2,107,103,4.0,-4.0
2019,21901318,1597363200,1,1610612761,1610612743,TOR,DEN,45,36,90,87,18,16,35,38,9,21,14,23,13,9,38,32,27,27,19.0,16.0,8,9,5,11,11,5,117,109,8.0,-8.0
2019,21901316,1597363200,1,1610612754,1610612748,IND,MIA,43,31,89,87,15,10,38,38,8,20,11,27,12,14,39,34,32,14,20.0,19.0,11,6,3,5,5,3,109,92,17.0,-17.0
2019,21901310,1597276800,0,1610612747,1610612758,LAL,SAC,48,54,98,95,15,21,35,47,11,7,15,12,15,9,32,35,29,37,17.0,15.0,6,12,1,2,2,1,122,136,-14.0,14.0
2019,21901314,1597276800,1,1610612762,1610612759,UTA,SAS,47,39,101,79,15,10,46,20,9,24,10,36,12,9,31,35,25,24,9.0,15.0,7,4,5,8,8,5,118,112,6.0,-6.0
2019,21901313,1597276800,1,1610612756,1610612742,PHX,DAL,49,39,89,89,14,8,34,26,16,16,21,19,7,11,38,32,34,17,6.0,11.0,6,3,4,4,4,4,128,102,26.0,-26.0
2019,21901311,1597276800,1,1610612763,1610612749,MEM,MIL,45,39,90,98,13,13,33,41,16,15,23,23,9,9,46,36,36,27,18.0,15.0,4,8,3,3,3,3,119,106,13.0,-13.0
2019,21901309,1597276800,0,1610612751,1610612757,BKN,POR,53,50,96,104,14,13,33,39,13,21,19,24,12,14,34,28,28,25,14.0,9.0,5,10,5,4,4,5,133,134,-1.0,1.0
2019,21901308,1597276800,0,1610612738,1610612764,BOS,WAS,35,34,88,88,8,10,35,26,12,18,14,24,13,18,38,38,22,22,19.0,18.0,8,11,7,6,6,7,90,96,-6.0,6.0
2019,21901312,1597276800,1,1610612753,1610612740,ORL,NOP,48,48,84,87,15,10,28,34,22,21,30,27,6,9,27,31,25,22,12.0,13.0,6,6,2,4,4,2,133,127,6.0,-6.0
2019,21901306,1597190400,1,1610612760,1610612748,OKC,MIA,39,42,89,86,16,14,42,42,22,17,27,20,14,6,36,34,20,24,16.0,12.0,7,14,4,2,2,4,116,115,1.0,-1.0
2019,21901305,1597190400,0,1610612755,1610612761,PHI,TOR,39,40,84,90,17,18,40,43,26,27,33,40,9,11,38,36,27,28,17.0,12.0,9,8,10,7,7,10,121,125,-4.0,4.0
2019,21901304,1597190400,0,1610612745,1610612754,HOU,IND,32,40,86,100,16,11,57,31,24,17,28,22,6,12,43,42,20,25,20.0,15.0,8,15,6,7,7,6,104,108,-4.0,4.0
2019,21901307,1597190400,0,1610612743,1610612746,DEN,LAC,43,46,87,85,13,14,35,37,12,18,19,23,9,6,33,34,33,29,12.0,8.0,4,11,3,1,1,3,111,124,-13.0,13.0
2019,21901299,1597104000,0,1610612755,1610612756,PHI,PHX,46,49,93,89,15,12,33,28,10,20,14,21,11,11,23,33,28,28,9.0,7.0,5,4,4,3,3,4,117,130,-13.0,13.0
2019,21901300,1597104000,0,1610612742,1610612757,DAL,POR,42,46,81,98,20,15,44,38,27,27,33,29,5,12,32,36,28,18,17.0,8.0,4,9,5,3,3,5,131,134,-3.0,3.0
2019,21901303,1597104000,0,1610612764,1610612749,WAS,MIL,39,44,95,87,12,18,35,38,23,20,30,28,11,9,33,44,22,25,11.0,15.0,2,6,3,0,0,3,113,126,-13.0,13.0
2019,21901302,1597104000,1,1610612758,1610612740,SAC,NOP,43,42,88,82,11,7,26,24,15,15,16,19,14,5,31,29,27,25,21.0,19.0,4,8,6,6,6,6,112,106,6.0,-6.0
2019,21901301,1597104000,0,1610612763,1610612738,MEM,BOS,35,44,89,86,7,16,29,37,30,18,38,23,14,10,30,36,26,29,8.0,15.0,8,7,4,7,7,4,107,122,-15.0,15.0
2019,21901298,1597104000,1,1610612759,1610612745,SAS,HOU,46,36,93,89,13,14,32,48,18,19,20,21,9,4,50,33,28,18,22.0,18.0,10,14,5,3,3,5,123,105,18.0,-18.0
2019,21901297,1597104000,0,1610612753,1610612751,ORL,BKN,32,38,83,89,7,13,23,43,25,19,29,24,12,8,37,39,13,26,17.0,15.0,9,9,3,4,4,3,96,108,-12.0,12.0
2019,21901294,1597017600,0,1610612749,1610612761,MIL,TOR,33,42,84,97,14,12,43,40,26,18,35,26,11,16,38,39,25,24,19.0,14.0,4,11,6,6,6,6,106,114,-8.0,8.0
