season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2016,21601229,1491955200,1,1610612744,1610612747,GSW,LAL,41,41,90,93,12,4,36,17,15,8,22,14,14,11,40,29,26,23,21.0,18.0,14,13,8,2,2,8,109,94,15.0,-15.0
2016,21601227,1491955200,1,1610612762,1610612759,UTA,SAS,39,39,77,86,10,8,26,21,13,11,20,13,7,15,29,27,24,16,17.0,15.0,10,12,5,2,2,5,101,97,4.0,-4.0
2016,21601217,1491955200,1,1610612753,1610612765,ORL,DET,42,41,87,106,13,11,25,36,16,16,17,28,6,17,45,36,27,20,11.0,8.0,7,6,6,3,3,6,113,109,4.0,-4.0
2016,21601230,1491955200,0,1610612757,1610612740,POR,NOP,41,40,85,90,13,8,30,24,5,15,13,21,14,11,39,31,22,20,25.0,11.0,4,13,2,3,3,2,100,103,-3.0,3.0
2016,21601226,1491955200,1,1610612754,1610612737,IND,ATL,39,30,82,72,10,11,24,29,16,15,19,19,8,8,33,29,21,19,10.0,20.0,5,5,7,4,4,7,104,86,18.0,-18.0
2016,21601228,1491955200,1,1610612746,1610612758,LAC,SAC,43,40,83,81,10,5,28,11,19,10,25,14,11,7,32,30,29,27,6.0,11.0,4,2,6,1,1,6,115,95,20.0,-20.0
2016,21601218,1491955200,0,1610612739,1610612761,CLE,TOR,28,40,76,86,10,8,37,26,17,10,24,16,10,12,32,36,20,20,15.0,9.0,5,8,7,2,2,7,83,98,-15.0,15.0
2016,21601225,1491955200,0,1610612760,1610612743,OKC,DEN,43,39,101,85,8,7,25,25,11,26,17,32,14,5,37,38,20,22,12.0,17.0,10,6,8,8,8,8,105,111,-6.0,6.0
2016,21601222,1491955200,1,1610612741,1610612751,CHI,BKN,41,28,95,86,14,3,30,33,16,14,21,18,14,10,48,38,28,17,13.0,19.0,15,8,4,3,3,4,112,73,39.0,-39.0
2016,21601220,1491955200,1,1610612752,1610612755,NYK,PHI,41,46,83,93,9,7,22,23,23,14,32,20,17,16,26,22,17,21,19.0,13.0,5,10,7,4,4,7,114,113,1.0,-1.0
2016,21601224,1491955200,1,1610612745,1610612750,HOU,MIN,45,48,97,91,19,11,56,23,14,11,22,15,16,10,31,39,37,37,10.0,15.0,11,7,7,3,3,7,123,118,5.0,-5.0
2016,21601223,1491955200,0,1610612763,1610612742,MEM,DAL,33,33,84,75,8,9,25,34,19,25,22,31,16,8,32,29,18,21,15.0,12.0,4,9,5,5,5,5,93,100,-7.0,7.0
2016,21601221,1491955200,1,1610612748,1610612764,MIA,WAS,46,42,88,87,8,7,24,26,10,11,12,14,14,8,37,26,19,18,18.0,11.0,2,9,4,0,0,4,110,102,8.0,-8.0
2016,21601219,1491955200,1,1610612738,1610612749,BOS,MIL,41,37,90,84,12,6,36,23,18,14,26,17,10,9,35,34,31,26,8.0,17.0,12,6,3,9,9,3,112,94,18.0,-18.0
2016,21601212,1491868800,1,1610612737,1610612766,ATL,CHA,41,29,79,88,7,3,27,23,14,15,18,19,11,15,39,25,30,16,17.0,15.0,6,11,4,1,1,4,103,76,27.0,-27.0
2016,21601214,1491868800,0,1610612742,1610612743,DAL,DEN,35,41,88,84,12,18,40,42,9,9,11,14,8,10,34,43,24,31,13.0,17.0,8,7,4,1,1,4,91,109,-18.0,18.0
2016,21601216,1491868800,1,1610612758,1610612756,SAC,PHX,43,41,83,109,9,8,19,30,34,14,43,24,8,18,47,30,28,19,13.0,9.0,7,8,2,3,3,2,129,104,25.0,-25.0
2016,21601215,1491868800,1,1610612747,1610612740,LAL,NOP,42,37,88,79,8,7,22,22,16,15,23,20,8,5,39,34,24,29,13.0,17.0,15,5,3,5,5,3,108,96,12.0,-12.0
2016,21601213,1491868800,0,1610612750,1610612760,MIN,OKC,38,37,86,86,5,7,20,22,17,19,25,25,11,18,24,36,24,22,11.0,17.0,12,7,3,4,4,3,98,100,-2.0,2.0
2016,21601210,1491782400,1,1610612746,1610612745,LAC,HOU,46,33,91,84,10,9,26,40,23,21,28,27,12,9,37,32,29,23,10.0,15.0,9,5,0,3,3,0,125,96,29.0,-29.0
2016,21601211,1491782400,0,1610612744,1610612762,GSW,UTA,39,41,80,92,9,13,25,35,12,10,17,15,8,14,34,35,25,29,13.0,12.0,5,8,6,3,3,6,99,105,-6.0,6.0
