season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2015,21501223,1460505600,0,1610612742,1610612759,DAL,SAS,31,35,77,74,12,6,39,23,17,20,21,26,11,8,30,34,20,24,12.0,15.0,8,8,2,3,3,2,91,96,-5.0,5.0
2015,21501222,1460505600,1,1610612741,1610612755,CHI,PHI,39,37,83,81,15,17,24,35,22,14,27,18,16,4,37,27,27,28,17.0,13.0,8,10,8,7,7,8,115,105,10.0,-10.0
2015,21501224,1460505600,1,1610612745,1610612758,HOU,SAC,47,32,97,96,10,11,35,37,12,6,19,13,14,15,41,34,33,21,14.0,20.0,11,11,7,4,4,7,116,81,35.0,-35.0
2015,21501229,1460505600,1,1610612756,1610612746,PHX,LAC,45,43,99,96,7,9,26,31,17,10,22,12,18,6,40,34,26,23,17.0,15.0,10,9,5,6,6,5,114,105,9.0,-9.0
2015,21501218,1460505600,0,1610612751,1610612761,BKN,TOR,39,41,89,93,10,13,26,37,8,8,12,15,5,16,34,41,26,24,8.0,9.0,8,5,8,10,10,8,96,103,-7.0,7.0
2015,21501227,1460505600,1,1610612744,1610612763,GSW,MEM,46,42,87,98,20,8,47,24,13,12,16,16,12,13,39,27,35,25,17.0,13.0,7,12,7,1,1,7,125,104,21.0,-21.0
2015,21501226,1460505600,1,1610612750,1610612740,MIN,NOP,56,40,86,92,13,11,28,30,19,18,23,22,5,10,38,23,41,31,13.0,16.0,14,7,8,0,0,8,144,109,35.0,-35.0
2015,21501220,1460505600,0,1610612739,1610612765,CLE,DET,46,37,97,85,7,16,18,33,11,22,15,28,8,9,35,38,21,24,10.0,12.0,4,5,7,11,11,7,110,112,-2.0,2.0
2015,21501221,1460505600,1,1610612764,1610612737,WAS,ATL,42,32,88,81,9,11,28,30,16,23,30,31,11,9,40,38,25,22,19.0,23.0,14,13,4,5,5,4,109,98,11.0,-11.0
2015,21501230,1460505600,1,1610612757,1610612743,POR,DEN,39,40,89,94,11,7,36,25,18,12,22,18,13,20,32,33,19,24,17.0,20.0,11,10,8,6,6,8,107,99,8.0,-8.0
