season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2017,21701230,1523404800,1,1610612758,1610612745,SAC,HOU,38,31,80,82,7,13,26,46,13,8,20,12,6,8,42,32,22,11,11.0,14.0,6,2,3,6,6,3,96,83,13.0,-13.0
2017,21701227,1523404800,1,1610612760,1610612763,OKC,MEM,47,44,85,91,20,13,43,31,23,22,32,24,8,9,37,32,32,22,14.0,13.0,8,9,3,2,2,3,137,123,14.0,-14.0
2017,21701229,1523404800,1,1610612757,1610612762,POR,UTA,41,33,89,89,9,8,24,23,11,19,16,24,7,14,39,39,19,18,10.0,15.0,9,5,9,7,7,9,102,93,9.0,-9.0
2017,21701228,1523404800,0,1610612746,1610612747,LAC,LAL,41,42,83,88,6,17,18,39,12,14,28,16,8,10,33,39,27,25,17.0,17.0,8,8,1,6,6,1,100,115,-15.0,15.0
2017,21701224,1523404800,0,1610612741,1610612765,CHI,DET,32,47,86,89,11,15,34,35,12,10,18,10,12,7,28,40,21,27,19.0,12.0,8,12,1,4,4,1,87,119,-32.0,32.0
2017,21701220,1523404800,0,1610612739,1610612752,CLE,NYK,37,43,94,85,6,12,24,27,18,12,28,13,17,8,31,31,15,30,16.0,15.0,9,10,3,3,3,3,98,110,-12.0,12.0
2017,21701219,1523404800,1,1610612738,1610612751,BOS,BKN,46,37,102,91,6,11,24,40,12,12,15,16,20,10,42,34,22,27,14.0,16.0,6,10,6,6,6,6,110,97,13.0,-13.0
2017,21701223,1523404800,1,1610612755,1610612749,PHI,MIL,52,37,105,90,15,7,36,25,11,14,15,16,17,10,40,33,35,22,12.0,20.0,15,6,7,5,5,7,130,95,35.0,-35.0
2017,21701222,1523404800,1,1610612753,1610612764,ORL,WAS,33,33,77,95,13,10,32,34,22,16,27,27,6,18,36,32,20,17,16.0,12.0,6,5,7,1,1,7,101,92,9.0,-9.0
2017,21701226,1523404800,1,1610612740,1610612759,NOP,SAS,52,37,88,92,5,8,19,24,13,16,19,19,11,12,40,26,30,22,19.0,17.0,11,9,5,1,1,5,122,98,24.0,-24.0
2017,21701221,1523404800,1,1610612748,1610612761,MIA,TOR,46,42,106,92,11,9,26,30,13,16,20,21,19,9,37,38,26,24,9.0,14.0,8,5,7,10,10,7,116,109,7.0,-7.0
2017,21701225,1523404800,1,1610612750,1610612743,MIN,DEN,42,41,89,90,9,13,23,32,19,11,25,18,8,10,32,37,24,19,8.0,15.0,10,4,2,4,4,2,112,106,6.0,-6.0
2017,21701216,1523318400,0,1610612742,1610612756,DAL,PHX,37,48,97,76,8,13,33,26,15,15,22,21,18,5,22,41,20,35,8.0,15.0,8,5,1,6,6,1,97,124,-27.0,27.0
2017,21701217,1523318400,1,1610612762,1610612744,UTA,GSW,48,30,90,86,13,5,35,19,10,14,13,16,12,9,42,30,25,14,15.0,16.0,10,7,6,3,3,6,119,79,40.0,-40.0
2017,21701215,1523318400,1,1610612764,1610612738,WAS,BOS,41,33,83,87,15,13,30,33,16,22,20,27,10,13,41,31,32,22,20.0,17.0,8,14,3,1,1,3,113,101,12.0,-12.0
2017,21701213,1523318400,0,1610612754,1610612766,IND,CHA,40,46,99,99,8,18,31,42,5,9,8,12,13,13,40,42,22,27,8.0,7.0,3,5,4,7,7,4,93,119,-26.0,26.0
2017,21701218,1523318400,0,1610612747,1610612745,LAL,HOU,38,37,90,88,10,16,36,47,13,15,15,16,9,8,38,41,22,19,17.0,19.0,14,9,4,5,5,4,99,105,-6.0,6.0
2017,21701214,1523318400,0,1610612737,1610612755,ATL,PHI,41,43,98,87,13,17,37,37,18,18,26,30,8,11,31,43,27,29,10.0,18.0,10,7,3,8,8,3,113,121,-8.0,8.0
2017,21701209,1523232000,1,1610612750,1610612763,MIN,MEM,42,35,87,85,7,5,22,18,22,19,26,21,18,10,34,25,27,20,18.0,17.0,10,11,7,5,5,7,113,94,19.0,-19.0
2017,21701204,1523232000,0,1610612765,1610612761,DET,TOR,35,46,78,87,9,12,30,39,19,4,25,4,4,8,29,40,22,27,6.0,10.0,7,3,2,5,5,2,98,108,-10.0,10.0
2017,21701206,1523232000,0,1610612748,1610612760,MIA,OKC,40,35,87,81,5,14,22,35,8,31,14,38,8,7,35,36,21,21,15.0,10.0,6,9,4,4,4,4,93,115,-22.0,22.0
2017,21701208,1523232000,1,1610612749,1610612753,MIL,ORL,39,34,91,82,9,5,26,24,15,13,18,20,12,5,44,38,26,24,17.0,20.0,13,8,2,4,4,2,102,86,16.0,-16.0
2017,21701212,1523232000,0,1610612746,1610612740,LAC,NOP,45,44,98,95,2,11,17,30,8,14,19,20,17,9,44,41,29,34,16.0,8.0,6,13,6,10,10,6,100,113,-13.0,13.0
2017,21701207,1523232000,0,1610612752,1610612739,NYK,CLE,46,40,87,85,11,19,30,45,6,24,12,28,8,7,29,35,26,29,14.0,11.0,4,9,7,2,2,7,109,123,-14.0,14.0
2017,21701210,1523232000,1,1610612759,1610612758,SAS,SAC,34,33,82,81,6,8,27,18,24,11,29,17,11,12,34,33,18,16,8.0,12.0,6,4,6,2,2,6,98,85,13.0,-13.0
2017,21701205,1523232000,1,1610612751,1610612741,BKN,CHI,41,43,82,89,18,12,42,28,14,7,15,12,6,10,32,34,32,26,18.0,19.0,8,7,10,6,6,10,114,105,9.0,-9.0
2017,21701211,1523232000,1,1610612743,1610612757,DEN,POR,31,31,83,94,6,7,26,33,20,13,26,18,10,18,42,39,22,10,12.0,17.0,7,8,5,2,2,5,88,82,6.0,-6.0
2017,21701203,1523145600,0,1610612756,1610612744,PHX,GSW,39,47,92,90,10,13,35,32,12,10,16,15,8,5,36,36,24,27,15.0,11.0,4,9,0,7,7,0,100,117,-17.0,17.0
2017,21701200,1523145600,1,1610612761,1610612753,TOR,ORL,39,42,78,89,17,7,40,23,17,10,24,17,6,6,41,36,28,25,17.0,11.0,8,12,5,4,4,5,112,101,11.0,-11.0
2017,21701199,1523145600,1,1610612763,1610612765,MEM,DET,48,38,83,93,16,23,33,47,18,18,24,23,8,14,35,24,36,30,14.0,13.0,11,10,4,0,0,4,130,117,13.0,-13.0
2017,21701202,1523145600,0,1610612738,1610612737,BOS,ATL,42,43,82,86,9,15,23,35,13,11,20,14,10,5,31,32,33,23,12.0,13.0,9,7,6,4,4,6,106,112,-6.0,6.0
2017,21701198,1523145600,1,1610612755,1610612742,PHI,DAL,46,40,91,94,8,11,27,40,9,6,14,13,9,10,43,33,32,24,11.0,12.0,9,6,4,6,6,4,109,97,12.0,-12.0
2017,21701201,1523145600,0,1610612747,1610612762,LAL,UTA,37,42,93,83,5,13,25,36,18,15,22,22,12,7,32,38,20,35,14.0,18.0,8,8,4,4,4,4,97,112,-15.0,15.0
2017,21701197,1523145600,0,1610612766,1610612754,CHA,IND,40,50,80,93,11,9,30,25,26,14,30,18,5,7,31,32,27,27,21.0,15.0,6,11,3,1,1,3,117,123,-6.0,6.0
2017,21701191,1523059200,0,1610612746,1610612743,LAC,DEN,43,53,87,85,6,12,17,29,23,16,34,23,15,7,23,26,25,36,11.0,8.0,6,4,0,6,6,0,115,134,-19.0,19.0
2017,21701193,1523059200,0,1610612741,1610612751,CHI,BKN,36,46,88,92,6,24,29,55,18,8,21,11,4,5,35,41,16,36,13.0,15.0,8,11,1,10,10,1,96,124,-28.0,28.0
2017,21701192,1523059200,0,1610612752,1610612749,NYK,MIL,41,45,95,93,9,10,21,25,11,15,11,17,13,12,31,36,30,30,11.0,10.0,3,6,7,10,10,7,102,115,-13.0,13.0
2017,21701194,1523059200,0,1610612745,1610612760,HOU,OKC,36,36,76,91,14,10,37,33,16,26,23,33,6,15,35,27,23,21,18.0,11.0,7,11,5,5,5,5,102,108,-6.0,6.0
2017,21701196,1523059200,1,1610612759,1610612757,SAS,POR,47,42,84,88,7,11,21,28,15,10,21,11,4,11,32,29,21,18,8.0,13.0,12,4,3,5,5,3,116,105,11.0,-11.0
2017,21701195,1523059200,0,1610612744,1610612740,GSW,NOP,49,49,90,87,15,11,33,27,7,17,11,22,8,4,34,30,31,39,17.0,8.0,3,15,0,6,6,0,120,126,-6.0,6.0
2017,21701185,1522972800,1,1610612738,1610612741,BOS,CHI,45,40,81,86,14,14,34,30,7,10,17,17,6,9,40,34,35,25,18.0,17.0,9,15,6,0,0,6,111,104,7.0,-7.0
2017,21701182,1522972800,0,1610612753,1610612766,ORL,CHA,42,48,94,86,9,17,23,31,7,24,13,26,12,9,24,41,27,32,9.0,10.0,2,4,3,5,5,3,100,137,-37.0,37.0
2017,21701189,1522972800,0,1610612756,1610612740,PHX,NOP,37,45,94,99,9,16,33,38,20,16,26,20,12,13,36,42,20,29,14.0,15.0,8,9,4,7,7,4,103,122,-19.0,19.0
2017,21701186,1522972800,1,1610612752,1610612748,NYK,MIA,45,35,89,88,18,7,37,27,14,21,21,22,9,7,42,35,33,20,12.0,12.0,7,7,5,5,5,5,122,98,24.0,-24.0
2017,21701183,1522972800,1,1610612755,1610612739,PHI,CLE,50,45,101,87,14,16,39,34,18,24,21,33,11,8,33,33,35,24,12.0,15.0,11,6,7,2,2,7,132,130,2.0,-2.0
2017,21701181,1522972800,1,1610612765,1610612742,DET,DAL,46,40,92,92,12,13,30,39,9,13,17,18,6,10,43,36,24,26,11.0,12.0,6,7,4,5,5,4,113,106,7.0,-7.0
2017,21701188,1522972800,0,1610612763,1610612758,MEM,SAC,37,40,84,85,6,6,24,24,13,8,18,12,12,10,26,32,20,23,15.0,16.0,7,8,7,5,5,7,93,94,-1.0,1.0
2017,21701184,1522972800,0,1610612764,1610612737,WAS,ATL,35,38,87,79,9,11,25,33,18,16,23,23,9,7,36,43,18,24,12.0,18.0,8,5,4,5,5,4,97,103,-6.0,6.0
2017,21701187,1522972800,1,1610612761,1610612754,TOR,IND,36,26,84,87,9,7,30,21,11,14,16,20,9,12,43,32,27,16,23.0,13.0,9,8,8,8,8,8,92,73,19.0,-19.0
2017,21701190,1522972800,0,1610612747,1610612750,LAL,MIN,31,43,79,100,8,8,24,26,26,19,32,26,13,18,40,30,16,25,21.0,5.0,3,14,2,8,8,2,96,113,-17.0,17.0
