season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2013,21301226,1397606400,1,1610612752,1610612761,NYK,TOR,37,36,81,80,8,9,17,29,13,11,19,18,11,12,25,36,13,20,16.0,25.0,12,9,6,2,2,6,95,92,3.0,-3.0
2013,21301223,1397606400,1,1610612766,1610612741,CHA,CHI,34,34,85,86,5,8,21,22,18,10,26,15,12,6,41,38,23,21,11.0,12.0,8,7,7,4,4,7,91,86,5.0,-5.0
2013,21301228,1397606400,1,1610612757,1610612746,POR,LAC,42,34,101,84,10,8,26,34,16,28,22,33,24,8,41,34,29,20,10.0,8.0,5,4,2,4,4,2,110,104,6.0,-6.0
2013,21301225,1397606400,0,1610612748,1610612755,MIA,PHI,30,38,73,74,10,10,30,23,17,14,22,16,9,5,25,30,16,24,22.0,21.0,8,15,2,5,5,2,87,100,-13.0,13.0
2013,21301224,1397606400,1,1610612739,1610612751,CLE,BKN,46,30,87,79,8,8,20,25,14,17,17,23,13,6,38,30,32,21,12.0,16.0,10,9,7,1,1,7,114,85,29.0,-29.0
2013,21301220,1397606400,1,1610612760,1610612765,OKC,DET,38,42,86,83,5,8,23,19,31,19,41,31,24,15,25,26,23,20,15.0,17.0,10,6,7,3,3,7,112,111,1.0,-1.0
2013,21301221,1397606400,0,1610612759,1610612747,SAS,LAL,41,45,99,91,10,11,30,27,8,12,10,17,10,6,39,44,25,29,10.0,9.0,3,4,6,2,2,6,100,113,-13.0,13.0
2013,21301227,1397606400,0,1610612753,1610612754,ORL,IND,32,41,79,88,5,11,15,23,17,8,24,11,9,15,31,37,14,26,10.0,12.0,9,5,5,2,2,5,86,101,-15.0,15.0
2013,21301218,1397606400,0,1610612750,1610612762,MIN,UTA,40,53,97,108,8,6,25,24,42,24,54,29,13,22,32,38,24,30,15.0,19.0,12,10,5,9,9,5,130,136,-6.0,6.0
2013,21301222,1397606400,0,1610612738,1610612764,BOS,WAS,39,50,84,88,7,6,30,18,17,12,23,17,11,6,26,30,24,26,14.0,12.0,8,6,1,2,2,1,102,118,-16.0,16.0
2013,21301217,1397606400,0,1610612749,1610612737,MIL,ATL,40,41,77,76,7,8,18,24,16,21,21,26,11,4,32,26,25,29,22.0,12.0,5,13,5,2,2,5,103,111,-8.0,8.0
2013,21301230,1397606400,0,1610612743,1610612744,DEN,GSW,37,44,84,90,9,8,34,23,29,20,35,35,9,11,33,34,23,27,19.0,14.0,4,12,4,4,4,4,112,116,-4.0,4.0
2013,21301216,1397606400,1,1610612763,1610612742,MEM,DAL,43,44,88,92,5,8,20,30,15,9,25,11,20,15,28,24,25,22,17.0,13.0,7,11,1,4,4,1,106,105,1.0,-1.0
2013,21301219,1397606400,1,1610612740,1610612745,NOP,HOU,43,35,82,81,6,14,12,30,13,16,20,24,11,13,31,28,24,23,10.0,14.0,10,3,10,4,4,10,105,100,5.0,-5.0
